"Date/Step","Count"
"2018-08-24 19:45:00","62"
"2018-08-24 20:00:00","53"
"2018-08-24 20:15:00","55"
"2018-08-24 20:30:00","44"
"2018-08-24 20:45:00","38"
"2018-08-24 21:00:00","47"
"2018-08-24 21:15:00","48"
"2018-08-24 21:30:00","35"
"2018-08-24 21:45:00","36"
"2018-08-24 22:00:00","31"
"2018-08-24 22:15:00","25"
"2018-08-24 22:30:00","38"
"2018-08-24 22:45:00","34"
"2018-08-24 23:00:00","31"
"2018-08-24 23:15:00","37"
"2018-08-24 23:30:00","31"
"2018-08-24 23:45:00","26"
