Zona,ID Espira Por zona,Id Único Global Espira,ID Cruzamento,lon,lat
22,8,5a535bcfa33116f026ef6a79,94,-9.14497554302,38.7550705483
22,4,5a535bcfa33116f026ef6a1a,159,-9.14918661118,38.755585096
22,3,5a535bcfa33116f026ef6a16,159,-9.14905250072,38.7556813118
22,9,5a535bcfa33116f026ef6a7d,159,-9.14881110191,38.7559532253
22,10,5a535bcfa33116f026ef6a83,159,-9.14872527122,38.7559950581
6,17,5a535bcea33116f026ef66f2,94,-9.14542078972,38.7559992414
22,5,5a535bcfa33116f026ef6a1e,93,-9.1461288929,38.7565681645
22,7,5a535bcfa33116f026ef6a6a,93,-9.14546370506,38.7568400746
22,2,5a535bcfa33116f026ef6a12,160,-9.14343059063,38.7574759221
22,6,5a535bcfa33116f026ef6a22,157,-9.13923561573,38.7587810649
22,1,5a535bcfa33116f026ef6a0e,157,-9.13902640343,38.7588898257
14,7,5a535bcfa33116f026ef69a8,579,-9.12302434444,38.7617259148
14,6,5a535bcea33116f026ef67df,579,-9.12330329418,38.7617300977
13,1,5a535bcfa33116f026ef697e,535,-9.10727977753,38.7666323337
13,2,5a535bcea33116f026ef679b,572,-9.10727977753,38.7666323337
13,4,5a535bcea33116f026ef67a2,646,-9.10727977753,38.7666323337
