t-4,t-3,t-2,t-1,Y
8.0,13.0,11.0,11.0,10.0
13.0,11.0,11.0,10.0,14.0
11.0,11.0,10.0,14.0,18.0
11.0,10.0,14.0,18.0,12.0
10.0,14.0,18.0,12.0,23.0
14.0,18.0,12.0,23.0,22.0
18.0,12.0,23.0,22.0,24.0
12.0,23.0,22.0,24.0,27.0
23.0,22.0,24.0,27.0,25.0
22.0,24.0,27.0,25.0,32.333333333333336
24.0,27.0,25.0,32.333333333333336,32.0
27.0,25.0,32.333333333333336,32.0,30.0
25.0,32.333333333333336,32.0,30.0,46.0
32.333333333333336,32.0,30.0,46.0,41.0
32.0,30.0,46.0,41.0,47.0
30.0,46.0,41.0,47.0,34.0
46.0,41.0,47.0,34.0,55.0
41.0,47.0,34.0,55.0,57.0
47.0,34.0,55.0,57.0,54.0
34.0,55.0,57.0,54.0,59.0
55.0,57.0,54.0,59.0,47.0
57.0,54.0,59.0,47.0,51.0
54.0,59.0,47.0,51.0,52.666666666666664
59.0,47.0,51.0,52.666666666666664,46.0
47.0,51.0,52.666666666666664,46.0,54.0
51.0,52.666666666666664,46.0,54.0,58.0
52.666666666666664,46.0,54.0,58.0,64.0
46.0,54.0,58.0,64.0,49.0
54.0,58.0,64.0,49.0,70.0
58.0,64.0,49.0,70.0,72.0
64.0,49.0,70.0,72.0,73.66666666666667
49.0,70.0,72.0,73.66666666666667,73.8888888888889
70.0,72.0,73.66666666666667,73.8888888888889,72.0
72.0,73.66666666666667,73.8888888888889,72.0,72.66666666666667
73.66666666666667,73.8888888888889,72.0,72.66666666666667,63.88888888888889
73.8888888888889,72.0,72.66666666666667,63.88888888888889,52.0
72.0,72.66666666666667,63.88888888888889,52.0,58.666666666666664
72.66666666666667,63.88888888888889,52.0,58.666666666666664,59.0
63.88888888888889,52.0,58.666666666666664,59.0,58.0
52.0,58.666666666666664,59.0,58.0,58.0
58.666666666666664,59.0,58.0,58.0,59.0
59.0,58.0,58.0,59.0,67.0
58.0,58.0,59.0,67.0,68.0
58.0,59.0,67.0,68.0,65.0
59.0,67.0,68.0,65.0,74.0
67.0,68.0,65.0,74.0,82.0
68.0,65.0,74.0,82.0,71.0
65.0,74.0,82.0,71.0,75.0
74.0,82.0,71.0,75.0,79.0
82.0,71.0,75.0,79.0,83.0
71.0,75.0,79.0,83.0,88.0
75.0,79.0,83.0,88.0,71.0
79.0,83.0,88.0,71.0,105.0
83.0,88.0,71.0,105.0,84.0
88.0,71.0,105.0,84.0,79.0
71.0,105.0,84.0,79.0,78.0
105.0,84.0,79.0,78.0,87.0
84.0,79.0,78.0,87.0,101.0
79.0,78.0,87.0,101.0,80.0
78.0,87.0,101.0,80.0,80.66666666666667
87.0,101.0,80.0,80.66666666666667,68.0
101.0,80.0,80.66666666666667,68.0,74.33333333333333
80.0,80.66666666666667,68.0,74.33333333333333,68.77777777777777
80.66666666666667,68.0,74.33333333333333,68.77777777777777,61.0
68.0,74.33333333333333,68.77777777777777,61.0,63.333333333333336
74.33333333333333,68.77777777777777,61.0,63.333333333333336,55.77777777777778
68.77777777777777,61.0,63.333333333333336,55.77777777777778,47.25925925925926
61.0,63.333333333333336,55.77777777777778,47.25925925925926,38.0
63.333333333333336,55.77777777777778,47.25925925925926,38.0,29.0
55.77777777777778,47.25925925925926,38.0,29.0,27.0
47.25925925925926,38.0,29.0,27.0,24.0
38.0,29.0,27.0,24.0,26.0
29.0,27.0,24.0,26.0,27.0
27.0,24.0,26.0,27.0,22.0
24.0,26.0,27.0,22.0,25.0
26.0,27.0,22.0,25.0,22.0
33.0,30.0,20.0,26.0,22.0
30.0,20.0,26.0,22.0,25.0
20.0,26.0,22.0,25.0,25.0
26.0,22.0,25.0,25.0,14.0
22.0,25.0,25.0,14.0,22.0
25.0,25.0,14.0,22.0,19.0
25.0,14.0,22.0,19.0,24.0
14.0,22.0,19.0,24.0,22.0
22.0,19.0,24.0,22.0,17.0
19.0,24.0,22.0,17.0,22.333333333333332
24.0,22.0,17.0,22.333333333333332,22.0
22.0,17.0,22.333333333333332,22.0,18.0
17.0,22.333333333333332,22.0,18.0,20.0
22.333333333333332,22.0,18.0,20.0,16.0
22.0,18.0,20.0,16.0,19.0
18.0,20.0,16.0,19.0,13.0
20.0,16.0,19.0,13.0,22.0
16.0,19.0,13.0,22.0,19.0
19.0,13.0,22.0,19.0,10.0
13.0,22.0,19.0,10.0,17.0
22.0,19.0,10.0,17.0,20.666666666666668
19.0,10.0,17.0,20.666666666666668,20.0
10.0,17.0,20.666666666666668,20.0,18.0
17.0,20.666666666666668,20.0,18.0,25.666666666666668
20.666666666666668,20.0,18.0,25.666666666666668,25.0
20.0,18.0,25.666666666666668,25.0,26.0
18.0,25.666666666666668,25.0,26.0,19.0
25.666666666666668,25.0,26.0,19.0,13.0
25.0,26.0,19.0,13.0,18.0
26.0,19.0,13.0,18.0,18.0
19.0,13.0,18.0,18.0,20.0
13.0,18.0,18.0,20.0,22.0
18.0,18.0,20.0,22.0,17.0
18.0,20.0,22.0,17.0,19.0
20.0,22.0,17.0,19.0,28.0
22.0,17.0,19.0,28.0,23.0
17.0,19.0,28.0,23.0,23.0
19.0,28.0,23.0,23.0,24.0
28.0,23.0,23.0,24.0,25.0
23.0,23.0,24.0,25.0,20.0
23.0,24.0,25.0,20.0,27.0
24.0,25.0,20.0,27.0,28.0
25.0,20.0,27.0,28.0,33.0
20.0,27.0,28.0,33.0,33.0
27.0,28.0,33.0,33.0,42.0
28.0,33.0,33.0,42.0,31.0
33.0,33.0,42.0,31.0,32.0
33.0,42.0,31.0,32.0,32.0
42.0,31.0,32.0,32.0,46.0
31.0,32.0,32.0,46.0,33.0
32.0,32.0,46.0,33.0,36.0
32.0,46.0,33.0,36.0,25.0
46.0,33.0,36.0,25.0,31.0
33.0,36.0,25.0,31.0,30.0
36.0,25.0,31.0,30.0,39.0
25.0,31.0,30.0,39.0,20.0
31.0,30.0,39.0,20.0,28.0
30.0,39.0,20.0,28.0,33.0
39.0,20.0,28.0,33.0,30.0
20.0,28.0,33.0,30.0,35.0
28.0,33.0,30.0,35.0,38.0
33.0,30.0,35.0,38.0,46.0
30.0,35.0,38.0,46.0,33.0
35.0,38.0,46.0,33.0,29.0
38.0,46.0,33.0,29.0,41.0
46.0,33.0,29.0,41.0,36.0
33.0,29.0,41.0,36.0,33.0
29.0,41.0,36.0,33.0,40.0
41.0,36.0,33.0,40.0,29.0
36.0,33.0,40.0,29.0,30.0
33.0,40.0,29.0,30.0,38.0
40.0,29.0,30.0,38.0,40.0
29.0,30.0,38.0,40.0,41.0
30.0,38.0,40.0,41.0,39.0
38.0,40.0,41.0,39.0,49.0
40.0,41.0,39.0,49.0,36.0
41.0,39.0,49.0,36.0,30.0
39.0,49.0,36.0,30.0,27.0
49.0,36.0,30.0,27.0,36.0
36.0,30.0,27.0,36.0,24.0
30.0,27.0,36.0,24.0,26.0
27.0,36.0,24.0,26.0,19.0
36.0,24.0,26.0,19.0,26.0
24.0,26.0,19.0,26.0,24.0
26.0,19.0,26.0,24.0,22.0
19.0,26.0,24.0,22.0,19.0
26.0,24.0,22.0,19.0,20.0
24.0,22.0,19.0,20.0,28.0
22.0,19.0,20.0,28.0,18.0
19.0,20.0,28.0,18.0,20.0
20.0,28.0,18.0,20.0,21.0
28.0,18.0,20.0,21.0,22.0
16.0,17.0,16.0,17.0,15.0
17.0,16.0,17.0,15.0,21.0
16.0,17.0,15.0,21.0,25.0
17.0,15.0,21.0,25.0,26.0
15.0,21.0,25.0,26.0,25.0
21.0,25.0,26.0,25.0,28.0
25.0,26.0,25.0,28.0,26.666666666666668
26.0,25.0,28.0,26.666666666666668,21.0
25.0,28.0,26.666666666666668,21.0,22.0
28.0,26.666666666666668,21.0,22.0,27.333333333333332
26.666666666666668,21.0,22.0,27.333333333333332,27.444444444444443
21.0,22.0,27.333333333333332,27.444444444444443,29.814814814814813
22.0,27.333333333333332,27.444444444444443,29.814814814814813,29.271604938271604
27.333333333333332,27.444444444444443,29.814814814814813,29.271604938271604,24.0
27.444444444444443,29.814814814814813,29.271604938271604,24.0,17.0
29.814814814814813,29.271604938271604,24.0,17.0,20.666666666666668
29.271604938271604,24.0,17.0,20.666666666666668,18.0
24.0,17.0,20.666666666666668,18.0,26.666666666666668
17.0,20.666666666666668,18.0,26.666666666666668,25.88888888888889
20.666666666666668,18.0,26.666666666666668,25.88888888888889,21.0
18.0,26.666666666666668,25.88888888888889,21.0,21.0
26.666666666666668,25.88888888888889,21.0,21.0,22.333333333333332
25.88888888888889,21.0,21.0,22.333333333333332,23.0
21.0,21.0,22.333333333333332,23.0,21.0
21.0,22.333333333333332,23.0,21.0,25.0
22.333333333333332,23.0,21.0,25.0,27.0
23.0,21.0,25.0,27.0,14.0
21.0,25.0,27.0,14.0,19.0
25.0,27.0,14.0,19.0,20.0
27.0,14.0,19.0,20.0,17.0
14.0,19.0,20.0,17.0,16.0
19.0,20.0,17.0,16.0,16.0
20.0,17.0,16.0,16.0,17.0
17.0,16.0,16.0,17.0,17.0
16.0,16.0,17.0,17.0,19.0
16.0,17.0,17.0,19.0,14.0
17.0,17.0,19.0,14.0,21.0
17.0,19.0,14.0,21.0,24.0
19.0,14.0,21.0,24.0,16.0
14.0,21.0,24.0,16.0,19.0
21.0,24.0,16.0,19.0,23.0
24.0,16.0,19.0,23.0,20.0
16.0,19.0,23.0,20.0,18.0
19.0,23.0,20.0,18.0,29.0
23.0,20.0,18.0,29.0,22.0
20.0,18.0,29.0,22.0,33.0
18.0,29.0,22.0,33.0,30.0
29.0,22.0,33.0,30.0,24.0
22.0,33.0,30.0,24.0,24.0
33.0,30.0,24.0,24.0,23.0
30.0,24.0,24.0,23.0,17.0
24.0,24.0,23.0,17.0,26.0
24.0,23.0,17.0,26.0,35.0
23.0,17.0,26.0,35.0,22.0
17.0,26.0,35.0,22.0,30.0
26.0,35.0,22.0,30.0,30.0
35.0,22.0,30.0,30.0,25.0
22.0,30.0,30.0,25.0,22.0
30.0,30.0,25.0,22.0,25.0
30.0,25.0,22.0,25.0,33.0
25.0,22.0,25.0,33.0,29.0
22.0,25.0,33.0,29.0,31.0
25.0,33.0,29.0,31.0,39.0
33.0,29.0,31.0,39.0,40.0
29.0,31.0,39.0,40.0,38.0
31.0,39.0,40.0,38.0,44.0
39.0,40.0,38.0,44.0,33.0
40.0,38.0,44.0,33.0,32.0
38.0,44.0,33.0,32.0,30.0
44.0,33.0,32.0,30.0,29.0
33.0,32.0,30.0,29.0,34.0
32.0,30.0,29.0,34.0,29.0
30.0,29.0,34.0,29.0,34.0
29.0,34.0,29.0,34.0,24.0
34.0,29.0,34.0,24.0,27.0
29.0,34.0,24.0,27.0,28.0
34.0,24.0,27.0,28.0,28.0
24.0,27.0,28.0,28.0,27.0
27.0,28.0,28.0,27.0,22.0
28.0,28.0,27.0,22.0,26.0
28.0,27.0,22.0,26.0,21.0
27.0,22.0,26.0,21.0,24.0
22.0,26.0,21.0,24.0,21.0
26.0,21.0,24.0,21.0,26.0
21.0,24.0,21.0,26.0,21.0
24.0,21.0,26.0,21.0,19.0
21.0,26.0,21.0,19.0,12.0
26.0,21.0,19.0,12.0,17.0
21.0,19.0,12.0,17.0,15.0
19.0,12.0,17.0,15.0,20.0
12.0,17.0,15.0,20.0,15.0
17.0,15.0,20.0,15.0,17.0
15.0,15.0,4.0,10.0,7.0
15.0,4.0,10.0,7.0,4.0
4.0,10.0,7.0,4.0,6.0
10.0,7.0,4.0,6.0,8.0
7.0,4.0,6.0,8.0,7.0
4.0,6.0,8.0,7.0,6.0
6.0,8.0,7.0,6.0,6.0
8.0,7.0,6.0,6.0,4.0
7.0,6.0,6.0,4.0,4.0
6.0,6.0,4.0,4.0,4.0
6.0,4.0,4.0,4.0,7.0
4.0,4.0,4.0,7.0,6.0
4.0,4.0,7.0,6.0,2.0
4.0,7.0,6.0,2.0,2.0
7.0,6.0,2.0,2.0,10.0
6.0,2.0,2.0,10.0,7.0
2.0,2.0,10.0,7.0,2.0
